map_seed,start_point,target_point,population_size,generations,mutation_rate,max_steps,num_iterations,success_rate,avg_execution_time,avg_path_length,avg_generations_needed,best_path_length,best_path,successful_runs
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,5,100,3.7,26.8,234,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14)]",5
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,5,80,44.79,43.5,1479,39,"[(15, 1), (14, 1), (15, 1), (14, 1), (14, 2), (13, 2), (12, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (9, 1), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",4
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,5,100,1.14,28.0,60,20,"[(11, 1), (10, 1), (9, 1), (8, 1), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",5
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,5,100,4.31,29.0,271,29,"[(11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (7, 13), (6, 13), (5, 13), (4, 13), (4, 14)]",5
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,5,100,0.11,23.0,0,19,"[(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13), (4, 14)]",5
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,5,100,0.29,31.4,11,21,"[(16, 1), (15, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (12, 4), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14)]",5
7,"(5, 1)","(5, 14)",1000,2000,0.9,39,5,100,15.72,39.2,798,34,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (13, 13), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14), (7, 14), (6, 14), (5, 14)]",5
8,"(6, 1)","(10, 14)",1000,2000,0.9,43,5,100,37.94,44.8,1383,42,"[(6, 1), (7, 1), (8, 1), (9, 1), (8, 1), (9, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (8, 14), (9, 14), (10, 14)]",5
9,"(15, 1)","(5, 14)",1000,2000,0.9,49,5,100,1.33,26.8,81,24,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 14)]",5
10,"(8, 1)","(7, 14)",1000,2000,0.9,40,5,100,15.66,31.0,756,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (10, 12), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14)]",5
11,"(7, 1)","(10, 14)",1000,2000,0.9,42,5,100,3.3,25.4,215,21,"[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (7, 13), (8, 13), (8, 14), (9, 14), (10, 14)]",5
12,"(8, 1)","(7, 14)",1000,2000,0.9,40,5,40,46.11,43.0,1566,43,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (12, 10), (13, 10), (13, 9), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (9, 13), (9, 14), (8, 14), (7, 14)]",2
13,"(11, 1)","(4, 14)",1000,2000,0.9,46,5,100,1.28,26.2,77,21,"[(11, 1), (11, 2), (11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (4, 14)]",5
14,"(12, 1)","(10, 14)",1000,2000,0.9,41,5,20,27.97,40.0,1190,40,"[(12, 1), (13, 1), (14, 1), (15, 1), (14, 1), (15, 1), (16, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 7), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (7, 13), (7, 14), (8, 14), (9, 14), (10, 14)]",1
15,"(14, 1)","(8, 14)",1000,2000,0.9,45,5,100,1.13,32.8,69,22,"[(14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14)]",5
16,"(5, 1)","(6, 14)",1000,2000,0.9,40,5,100,12.46,39.8,666,37,"[(5, 1), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (10, 1), (11, 1), (12, 1), (13, 1), (12, 1), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14)]",5
17,"(8, 1)","(11, 14)",1000,2000,0.9,42,5,100,21.38,37.0,953,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (14, 14), (13, 14), (12, 14), (11, 14)]",5
18,"(7, 1)","(6, 14)",1000,2000,0.9,40,5,100,3.84,28.6,241,21,"[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",5
19,"(15, 1)","(7, 14)",1000,2000,0.9,47,5,100,6.49,30.0,387,28,"[(15, 1), (15, 2), (15, 3), (15, 2), (14, 2), (13, 2), (13, 3), (13, 4), (13, 5), (13, 6), (14, 6), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14)]",5
20,"(11, 1)","(8, 14)",1000,2000,0.9,42,5,100,2.4,35.8,144,27,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (14, 3), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14)]",5
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,10,100,2.64,28.6,274,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",10
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,10,60,24.1,45.33,1329,39,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (9, 1), (8, 1), (7, 1), (7, 2), (8, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14)]",6
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,10,100,0.92,26.6,85,20,"[(11, 1), (10, 1), (10, 2), (9, 2), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",10
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,10,100,3.44,30.4,323,29,"[(11, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14)]",10
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,10,100,0.1,23.6,0,19,"[(5, 1), (5, 2), (5, 3), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (5, 12), (5, 13), (4, 13), (4, 14)]",10
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,10,100,0.28,32.8,18,21,"[(16, 1), (15, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (12, 4), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14)]",10
7,"(5, 1)","(5, 14)",1000,2000,0.9,39,10,100,12.27,39.4,858,34,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14)]",10
8,"(6, 1)","(10, 14)",1000,2000,0.9,43,10,80,24.29,44.5,1351,40,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 2), (11, 2), (11, 1), (12, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13), (8, 14), (9, 14), (10, 14)]",8
9,"(15, 1)","(5, 14)",1000,2000,0.9,49,10,100,0.9,26.0,81,24,"[(15, 1), (14, 1), (13, 1), (12, 1), (12, 2), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 14)]",10
10,"(8, 1)","(7, 14)",1000,2000,0.9,40,10,100,8.1,32.6,640,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (10, 12), (10, 13), (9, 13), (9, 14), (8, 14), (7, 14)]",10
11,"(7, 1)","(10, 14)",1000,2000,0.9,42,10,100,1.89,25.6,179,21,"[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (9, 13), (9, 14), (10, 14)]",10
12,"(8, 1)","(7, 14)",1000,2000,0.9,40,10,80,33.08,47.0,1640,43,"[(8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (12, 10), (13, 10), (13, 9), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14)]",8
13,"(11, 1)","(4, 14)",1000,2000,0.9,46,10,100,1.57,24.6,143,21,"[(11, 1), (11, 2), (11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (4, 14)]",10
14,"(12, 1)","(10, 14)",1000,2000,0.9,41,10,80,28.51,41.25,1496,38,"[(12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 7), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (10, 14)]",8
15,"(14, 1)","(8, 14)",1000,2000,0.9,45,10,100,0.88,30.6,77,22,"[(14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (14, 14), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14)]",10
16,"(5, 1)","(6, 14)",1000,2000,0.9,40,10,100,9.79,38.0,713,33,"[(5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14)]",10
17,"(8, 1)","(11, 14)",1000,2000,0.9,42,10,100,15.82,34.6,1005,31,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 13), (11, 14)]",10
18,"(7, 1)","(6, 14)",1000,2000,0.9,40,10,100,1.44,31.2,133,21,"[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",10
19,"(15, 1)","(7, 14)",1000,2000,0.9,47,10,100,3.65,33.4,309,26,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14), (7, 14)]",10
20,"(11, 1)","(8, 14)",1000,2000,0.9,42,10,100,2.64,29.0,231,23,"[(11, 1), (12, 1), (13, 1), (13, 2), (14, 2), (14, 3), (14, 4), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (12, 8), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (8, 12), (8, 13), (8, 14)]",10
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,20,100,3.13,27.6,231,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14)]",20
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,20,60,44.69,46.5,1365,39,"[(15, 1), (14, 1), (15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (10, 2), (9, 2), (9, 1), (8, 1), (7, 1), (8, 1), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14)]",12
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,20,100,1.29,26.0,73,20,"[(11, 1), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",20
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,20,100,5.33,30.1,312,29,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14)]",20
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,20,100,0.14,23.9,1,15,"[(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13), (4, 14)]",20
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,20,100,0.39,32.7,16,21,"[(16, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (13, 13), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14)]",20
7,"(5, 1)","(5, 14)",1000,2000,0.9,39,20,100,21.63,41.9,928,34,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (12, 12), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14)]",20
8,"(6, 1)","(10, 14)",1000,2000,0.9,43,20,65,36.49,45.54,1287,40,"[(6, 1), (7, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (12, 2), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (7, 12), (8, 12), (9, 12), (9, 13), (10, 13), (10, 14)]",13
9,"(15, 1)","(5, 14)",1000,2000,0.9,49,20,100,1.89,31.1,101,24,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (7, 2), (7, 3), (7, 4), (6, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",20
10,"(8, 1)","(7, 14)",1000,2000,0.9,40,20,100,12.84,34.9,624,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14)]",20
11,"(7, 1)","(10, 14)",1000,2000,0.9,42,20,100,2.82,25.3,169,21,"[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (7, 14), (8, 14), (9, 14), (10, 14)]",20
12,"(8, 1)","(7, 14)",1000,2000,0.9,40,20,65,48.58,47.15,1543,41,"[(8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (12, 10), (13, 10), (13, 9), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14)]",13
13,"(11, 1)","(4, 14)",1000,2000,0.9,46,20,100,1.18,30.9,64,21,"[(11, 1), (11, 2), (11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (4, 14)]",20
14,"(12, 1)","(10, 14)",1000,2000,0.9,41,20,75,44.5,40.67,1503,38,"[(12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 7), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (10, 14)]",15
15,"(14, 1)","(8, 14)",1000,2000,0.9,45,20,100,2.04,27.9,119,22,"[(14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (13, 13), (12, 13), (11, 13), (10, 13), (9, 13), (9, 14), (8, 14)]",20
16,"(5, 1)","(6, 14)",1000,2000,0.9,40,20,100,15.06,39.6,716,33,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 3), (13, 4), (13, 5), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8), (12, 8), (13, 8), (13, 9), (13, 10), (12, 10), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (8, 13), (7, 13), (7, 14), (6, 14)]",20
17,"(8, 1)","(11, 14)",1000,2000,0.9,42,20,100,25.63,35.3,1014,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (13, 14), (12, 14), (11, 14)]",20
18,"(7, 1)","(6, 14)",1000,2000,0.9,40,20,100,2.95,27.1,168,21,"[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14)]",20
19,"(15, 1)","(7, 14)",1000,2000,0.9,47,20,100,5.22,31.5,280,26,"[(15, 1), (15, 2), (14, 2), (13, 2), (13, 3), (13, 4), (13, 5), (13, 6), (14, 6), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14)]",20
20,"(11, 1)","(8, 14)",1000,2000,0.9,42,20,100,4.6,28.3,248,23,"[(11, 1), (10, 1), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 14)]",20
